trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",30,0,-88.49539704485167,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-27.110621534375156,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,8,-27.451799646736124,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,9,-29.425215450543067,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-19.46113209638147,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-67.95377206726734,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,0,-50.77694281045027,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-174.15181886914107,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-61.57526773391221,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-61.193668960178435,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,8,-11.68859127012749,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-75.78773134129538,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,9,-11.199220015184444,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,13,-34.35868968822847,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-33.13738607898333,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",35,0,-34.827396012202705,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,0,-137.12061321138634,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-45.36922770413302,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,0,-95.82069937354106,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,9,3.750439374045459,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-1.0450445427133284,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",35,13,-46.589282725228266,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,14,-10.220134366075795,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,7,-76.81350679874983,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,8,8.882689106305527,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,9,-9.541664081718324,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,9,-12.694281173471431,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",35,15,-75.66694542719047,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,6,5.443536890103667,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-76.45888911155565,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",35,23,10.375980605140494,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,1,-87.38742581432714,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",30,0,-21.365651746751,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,7,-52.13923901889188,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,8,3.3908371446293364,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,-84.12313129044853,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",35,21,14.424553919173906,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,12,23.23384492555863,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,1,-22.19050300740476,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,1,-40.19670791922728,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,10,2.792793803604259,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-9.645363434573525,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,12,-30.967170123372256,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
