trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.19999999999999982, 'e': 0.6065306597126334}",25,0,-70.77699125937042,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.19999999999999982, 'e': 0.5945205479701944}",25,6,-80.11514316895872,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
28,False,"{'a': 0.19999999999999982, 'e': 0.5827482523739896}",20,0,-49.97670214836485,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.19999999999999982, 'e': 0.5712090638488149}",25,0,-64.01050612429376,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.19999999999999982, 'e': 0.559898366565402}",20,4,-9.538641545076443,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.19999999999999982, 'e': 0.5488116360940265}",20,14,-12.012735133499808,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.19999999999999982, 'e': 0.5379444375946745}",35,14,-64.03375877317755,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.19999999999999982, 'e': 0.5272924240430485}",20,0,-37.341567079583335,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
34,False,"{'a': 0.19999999999999982, 'e': 0.5168513344916992}",20,2,-70.86842175697643,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.19999999999999982, 'e': 0.5066169923655895}",30,12,-54.46898361104219,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.19999999999999982, 'e': 0.49658530379140947}",25,13,-35.09811128971591,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.19999999999999982, 'e': 0.4867522559599717}",30,7,-53.04511679639206,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",1
38,False,"{'a': 0.19999999999999982, 'e': 0.4771139155210344}",20,4,-9.762729206161454,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.19999999999999982, 'e': 0.46766642700990924}",30,3,37.28260522548561,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.19999999999999982, 'e': 0.4584060113052235}",25,6,-30.64561367415691,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.19999999999999982, 'e': 0.44932896411722156}",20,0,-25.950117421147155,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
42,False,"{'a': 0.19999999999999982, 'e': 0.44043165450599925}",20,0,-92.65111456517997,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.19999999999999982, 'e': 0.43171052342907973}",25,10,-29.176793116102644,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.19999999999999982, 'e': 0.4231620823177488}",25,0,-58.838683858256154,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.19999999999999982, 'e': 0.4147829116815814}",25,16,-24.094722968185568,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.19999999999999982, 'e': 0.4065696597405991}",25,9,-27.413931783940555,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.19999999999999982, 'e': 0.39851904108451414}",20,14,-14.663948199795698,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.19999999999999982, 'e': 0.3906278353585211}",25,0,-76.35051003457714,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
49,False,"{'a': 0.19999999999999982, 'e': 0.38289288597511206}",20,0,-18.947991331863612,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.19999999999999982, 'e': 0.37531109885139957}",25,0,-89.448361720316,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.19999999999999982, 'e': 0.36787944117144233}",20,0,8.077383342879914,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.19999999999999982, 'e': 0.3605949401730783}",25,11,-16.747168299712136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.19999999999999982, 'e': 0.35345468195878016}",30,20,-7.204351134999614,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.19999999999999982, 'e': 0.3464558103300574}",25,18,0.48157917498063996,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.19999999999999982, 'e': 0.3395955256449391}",20,0,-18.555705190937157,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.19999999999999982, 'e': 0.33287108369807955}",20,12,-29.238073889551774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.19999999999999982, 'e': 0.32627979462303947}",25,1,-53.0196396371216,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.19999999999999982, 'e': 0.31981902181630384}",20,12,-25.581562139580395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.19999999999999982, 'e': 0.3134861808826053}",20,6,12.114349946165726,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.19999999999999982, 'e': 0.30727873860113125}",20,3,-18.249670847191705,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.19999999999999982, 'e': 0.30119421191220214}",20,4,27.1925764325859,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.19999999999999982, 'e': 0.2952301669240142}",20,6,8.902295462395562,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.19999999999999982, 'e': 0.2893842179390506}",25,13,14.208104776366087,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.19999999999999982, 'e': 0.2836540264997704}",20,15,9.007148128702362,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.19999999999999982, 'e': 0.27803730045319414}",25,7,-25.0277988703027,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 0}",1
66,False,"{'a': 0.19999999999999982, 'e': 0.2725317930340126}",20,7,-21.448169326654135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.19999999999999982, 'e': 0.26713530196585034}",20,9,23.047434205179478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.19999999999999982, 'e': 0.261845668580326}",20,6,23.218314911350532,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.19999999999999982, 'e': 0.2566607769535559}",20,7,14.682584863064765,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.19999999999999982, 'e': 0.25157855305975646}",20,9,21.98621090997105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.19999999999999982, 'e': 0.24659696394160643}",30,5,34.72675549188868,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.19999999999999982, 'e': 0.24171401689703645}",20,15,3.520919200603953,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.19999999999999982, 'e': 0.23692775868212176}",25,15,17.776208638163943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.19999999999999982, 'e': 0.23223627472975883}",20,0,26.42652335696488,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.19999999999999982, 'e': 0.22763768838381274}",25,15,20.284269938104956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.19999999999999982, 'e': 0.22313016014842982}",20,12,3.4471375388875494,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.19999999999999982, 'e': 0.21871188695221475}",20,6,14.894762794492745,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.19999999999999982, 'e': 0.21438110142697794}",25,11,5.537865589326058,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.19999999999999982, 'e': 0.21013607120076472}",20,0,-26.24470247195413,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.19999999999999982, 'e': 0.20597509820488344}",20,11,3.071356790381148,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.19999999999999982, 'e': 0.20189651799465538}",20,9,18.5381803205981,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.19999999999999982, 'e': 0.19789869908361465}",20,10,-0.9959431780265893,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.19999999999999982, 'e': 0.19398004229089189}",25,16,-7.046598341778539,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.19999999999999982, 'e': 0.1901389801015205}",20,7,21.270290185127767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.19999999999999982, 'e': 0.18637397603940997}",30,16,27.60730552953291,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.19999999999999982, 'e': 0.18268352405273466}",20,11,15.8719591428376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.19999999999999982, 'e': 0.17906614791149322}",20,2,-19.551697524401376,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.19999999999999982, 'e': 0.17552040061699686}",30,19,19.64885037154168,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.19999999999999982, 'e': 0.17204486382305054}",25,11,14.434868572963945,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.19999999999999982, 'e': 0.1686381472685955}",20,14,-12.834451694456302,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.19999999999999982, 'e': 0.16529888822158653}",20,11,2.8486355956516918,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
